htsno,hs8,hs6,hs2,description,general,special,CN_subheading,CN_wave,CN_tariff
0101,,,,"Live horses, asses, mules and hinnies:",,,,,0.0
,,,,Horses:,,,,,0.0
0101.21.00,01012100,010121,01,Purebred breeding animals,Free,,9903.88.15,List 4A,7.5
0101.21.00.10,01012100,010121,01,Males,,,,,0.0
0101.21.00.20,01012100,010121,01,Females,,,,,0.0
0101.29.00,01012900,010129,01,Other,Free,,9903.88.15,List 4A,7.5
0101.29.00.10,01012900,010129,01,Imported for immediate slaughter,,,,,0.0
0101.29.00.90,01012900,010129,01,Other,,,,,0.0
0101.30.00.00,01013000,010130,01,Asses,6.8%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0101.90,,,,Other:,,,,,0.0
0101.90.30.00,01019030,010190,01,Imported for immediate slaughter,Free,,9903.88.15,List 4A,7.5
0101.90.40.00,01019040,010190,01,Other,4.5%,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0102,,,,Live bovine animals:,,,,,0.0
,,,,Cattle:,,,,,0.0
0102.21.00,01022100,010221,01,Purebred breeding animals,Free,,9903.88.15,List 4A,7.5
,,,,Dairy:,,,,,0.0
0102.21.00.10,01022100,010221,01,Male,,,,,0.0
0102.21.00.20,01022100,010221,01,Female,,,,,0.0
,,,,Other:,,,,,0.0
0102.21.00.30,01022100,010221,01,Male,,,,,0.0
0102.21.00.50,01022100,010221,01,Female,,,,,0.0
0102.29,,,,Other:,,,,,0.0
0102.29.20,01022920,010229,01,Cows imported specially for dairy purposes,Free,,9903.88.15,List 4A,7.5
0102.29.20.11,01022920,010229,01,Weighing less than 90 kg each,,,,,0.0
0102.29.20.12,01022920,010229,01,Weighing 90 kg or more each,,,,,0.0
